Page Name,Beginning Of Interval,Page Likes,Page Like Growth,Followers,Follower Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Interactions Per Post,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate
Facebook for Creators,2023-03-28 13:06:48.247422680,1193325,5.73%,1255756,5.48%,2,22779,-77.12%,0.91%,"11,389.50",7115,938,14726,11045,5,7,107,3,3365,1,16793,1.41%,0,0,,0,0,,1,5986,0.50%,0,0,
Facebook Marketplace Community,2023-04-03 04:34:38.350515464,19409208,0.32%,21851130,0.32%,12,11725,26.24%,0%,977.08,2556,622,8547,7730,2,41,14,4,707,9,9419,0.01%,0,0,,0,0,,3,2306,0.00%,0,0,
Facebook Gaming,2023-04-08 20:02:28.453608248,10643903,-0.04%,12917437,-0.02%,10,4869,2.35%,0%,486.9,570,329,3970,3438,8,12,6,6,429,2,588,0.00%,1,456,0.00%,0,0,,7,3825,0.01%,0,0,
Facebook,2023-04-14 11:30:18.556701032,177605488,-0.71%,182051145,-0.67%,1,26176,0%,0.01%,"26,176",7687,994,17495,15423,69,80,37,18,1723,0,0,,0,0,,0,0,,1,26176,0.01%,0,0,
Facebook Security,2023-04-20 02:58:08.659793816,9006791,-0.04%,9113762,-0.02%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-04-25 18:25:58.762886600,177620028,-0.69%,177620400,-0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Marketing Expert Reminder,2023-05-01 09:53:48.865979384,38120,2.94%,41138,2.82%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook Community,2023-05-07 01:21:38.969072168,460838,0.08%,590541,-0.02%,1,1529,-58.93%,0.26%,"1,529",1064,37,428,338,0,2,2,1,78,1,1529,0.33%,0,0,,0,0,,0,0,,0,0,
Facebook,2023-05-12 16:49:29.072164944,177612727,-0.70%,178177227,-0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
Facebook,2023-05-18 08:17:19.175257728,177616377,-0.70%,177777959,-0.70%,0,0,0%,0%,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
